Data,Open,High,Low,Close,BTC-USD,SMA50,SMA200,RSI,ATR,Volume,VolumeAvg20,Azione,Livello_Rischio
2016-04-04,420.08,421.0,417.58,419.47,419.47,418.2312,369.51065,53.53177850121854,7.486368267660048,5323.83529462,5410.253132996,MANTIENI STATO ATTUALE,BASSO
2016-04-05,419.48,423.43,418.01,422.36,422.36,418.6994,370.45355,56.502442796940265,7.33877053425576,5727.68629636,5382.897007269,ACQUISTA,BASSO
2016-04-06,422.4,423.0,420.61,421.46,421.46,418.9802,371.39644999999996,55.31645233853019,6.985286924666061,5211.96140153,5338.0729131054995,MANTIENI STATO ATTUALE,BASSO
2016-04-07,421.36,422.74,419.41,421.99,421.99,419.116,372.3452,55.90345034137413,6.7241950014756275,5026.31118662,5159.5091342465,MANTIENI STATO ATTUALE,BASSO
2016-04-08,421.99,424.65,415.71,419.48,419.48,419.0818,373.30604999999997,52.393136774358325,6.88246678708451,6437.97595515,5239.401253047,ACQUISTA,BASSO
2016-04-09,419.48,419.79,415.51,419.46,419.46,419.05660000000006,374.24694999999997,52.36492121194653,6.696576302292762,3519.98911149,5179.0953498855,MANTIENI STATO ATTUALE,BASSO
2016-04-10,419.46,423.99,419.46,423.4,423.4,418.7754,375.21265,57.249291059294094,6.541820852128996,2990.03664436,5027.571276692,MANTIENI STATO ATTUALE,BASSO
2016-04-11,423.29,424.0,420.15,423.94,423.94,418.483,376.156,57.8866493962804,6.349547934119784,5093.21825161,4975.9975964694995,ACQUISTA,BASSO
2016-04-12,423.95,429.77,423.14,427.8,427.8,418.288,377.11555,62.222298343731914,6.369580224539798,6997.06357807,5050.5048027325,ACQUISTA,MEDIO
2016-04-13,427.8,429.44,423.59,425.58,425.58,418.4002,378.07,58.492504038251724,6.332467351358386,5885.07514476,5091.529091708,ACQUISTA,BASSO
2016-04-14,425.58,428.0,424.52,426.32,426.32,418.4478000000001,379.03369999999995,59.366848904572024,6.128719683404217,4732.22672175,5098.2073758805,MANTIENI STATO ATTUALE,BASSO
2016-04-15,426.35,431.1,425.72,430.93,430.93,418.5956,379.9884,64.39817412774002,6.075239706018202,4184.00939072,5125.357702577499,MANTIENI STATO ATTUALE,MEDIO
2016-04-16,430.82,434.89,429.89,433.39,433.39,418.64639999999997,380.97090000000003,66.76322064355432,5.998436869874045,4133.98598682,5099.1521003914995,MANTIENI STATO ATTUALE,MEDIO
2016-04-17,433.69,434.93,429.15,431.0,431.0,418.60400000000004,381.94020000000006,62.42442268684528,5.982834236311615,3299.73395797,4978.2457947565,MANTIENI STATO ATTUALE,MEDIO
2016-04-18,431.08,434.46,428.44,430.97,430.97,418.54879999999997,382.90335,62.369631165268025,5.985488933717927,5277.32120606,4874.0190913,ACQUISTA,MEDIO
2016-04-19,430.9,438.2,429.22,437.06,437.06,418.56120000000004,383.89725,68.42783535165614,6.199382581309501,6226.60528301,4893.774675261,ACQUISTA,MEDIO
2016-04-20,437.06,444.07,436.17,442.96,442.96,418.75879999999995,384.91245,72.96828115185782,6.320855254073106,7150.95669528,4989.545370832499,ACQUISTA,ALTO
2016-04-21,442.87,453.8,441.99,452.25,452.25,419.39599999999996,385.97434999999996,78.26789589273972,6.712937021639314,7693.43100861,5106.5207620705,ACQUISTA,ALTO
2016-04-22,452.25,452.95,445.07,448.41,448.41,419.9882,387.01165000000003,71.98562564219236,6.79629866295079,6814.7817311,5249.6589329305,ACQUISTA,ALTO
2016-04-23,448.57,455.84,447.03,455.69,455.69,420.955,388.05690000000004,75.93012296942655,6.94013447274002,4618.30821378,5317.2256529835,MANTIENI STATO ATTUALE,ALTO
2016-04-24,455.68,465.0,454.55,464.46,464.46,422.3226,389.15920000000006,79.6478241701619,7.19083915325859,6188.49079492,5360.4584279985,ACQUISTA,ALTO
2016-04-25,464.47,472.38,454.65,466.17,466.17,423.58119999999997,390.27535000000006,80.28716279979574,7.943636356597263,9493.32784683,5548.740505522,ACQUISTA,ALTO
2016-04-26,466.17,472.11,464.01,470.59,470.59,424.74879999999996,391.40655,81.87232278791838,7.954805188268889,7471.24056177,5661.704463534,ACQUISTA,ALTO
