variant,period,ret,dd,sharpe,ops,win,delta
fast_if_long_weak_or_mom7neg,2018,-0.22749375985545317,-0.31246194487687917,-1.0615120770418505,2,0.0,0.49846028739226056
fast_if_long_weak_or_mom7neg,2021,1.0143232568736185,-0.254060535869327,1.602762038384083,3,0.6666666666666666,0.4378881389985414
fast_if_long_weak_or_mom7neg,2022,0.0,0.0,,0,0.0,0.6529963898562102
fast_if_long_weak_or_mom7neg,2024-26,0.3946926611958057,-0.2742862594530807,0.6057608160904661,13,0.23076923076923078,-0.02418451904478669
fast_if_long_weak_or_mom7neg,2025-26,-0.17427475724309394,-0.18199110055409595,-0.7135581998425786,7,0.14285714285714285,0.16200801891380978
fast_if_rsi45_or_mom7neg,full,368.0408123584216,-0.41071043972590926,1.4360217797455919,38,0.5,169.61926784063436
fast_if_rsi45_or_mom7neg,2017,6.614121418400425,-0.3568822990237691,2.851514880260072,4,0.75,-6.566030553680252
fast_if_rsi45_or_mom7neg,2018,-0.22749375985545317,-0.31246194487687917,-1.0615120770418505,2,0.0,0.49846028739226056
fast_if_rsi45_or_mom7neg,2021,1.0143232568736185,-0.254060535869327,1.602762038384083,3,0.6666666666666666,0.4378881389985414
fast_if_rsi45_or_mom7neg,2022,0.0,0.0,,0,0.0,0.6529963898562102
fast_if_rsi45_or_mom7neg,2024-26,0.3946926611958057,-0.2742862594530807,0.6057608160904661,13,0.23076923076923078,-0.02418451904478669
fast_if_rsi45_or_mom7neg,2025-26,-0.17427475724309394,-0.18199110055409595,-0.7135581998425786,7,0.14285714285714285,0.16200801891380978
