name,total,ann,dd,sharpe,ops,win,delta
trail30_20,140.25190273249586,0.5390260990017179,-0.5186922785418375,1.2126931770856992,23,0.6956521739130435,-58.16964178529136
trail60_8,54.064282938624096,0.417799375228862,-0.34187923236246553,1.229508253778846,66,0.3787878787878788,-144.35726157916312
trail60_10,59.406253186425396,0.4292786013974328,-0.4217126040078344,1.2004997079918223,57,0.3684210526315789,-139.01529133136182
trail60_12,71.68980597304578,0.45250724909382845,-0.3823199387169737,1.210241331546847,51,0.37254901960784315,-126.73173854474145
trail60_15,71.59121617248996,0.45233556857835455,-0.451555624235469,1.1614396246667542,41,0.4634146341463415,-126.83032834529726
trail60_20,124.12142624969357,0.5228584031566461,-0.4841367619587261,1.217771619307429,27,0.5555555555555556,-74.30011826809366
trail90_8,47.70785704112205,0.40273404748027675,-0.34862018052814336,1.200511574021311,64,0.390625,-150.71368747666517
trail90_10,55.155685541713304,0.42022490921100264,-0.4217126040078345,1.1828873877544963,58,0.3620689655172414,-143.26585897607393
trail90_12,68.48646341829742,0.4468171317017655,-0.3823199387169738,1.200149459007488,51,0.37254901960784315,-129.93508109948982
trail90_15,74.66011487314606,0.45758245284513754,-0.427367731315781,1.171909517948591,40,0.475,-123.76142964464117
trail90_20,99.54556575080942,0.49413060867972325,-0.4744866494440032,1.179991250096698,29,0.5517241379310345,-98.87597876697781
sma20_1d_weak,101.95118898912314,0.49721047126238127,-0.5119515387242578,1.282341970668709,82,0.35365853658536583,-96.47035552866409
sma20_1d_or_mom8,68.27773837762341,0.44643811409030776,-0.48701581195986055,1.2153717544738452,87,0.3218390804597701,-130.1438061401638
sma30_1d_weak,69.42751749313162,0.44851316073810477,-0.4860257522660649,1.1582141558217673,74,0.35135135135135137,-128.99402702465562
sma30_1d_or_mom8,64.95603327583726,0.4402616569126152,-0.4891940859486664,1.1792468644600098,72,0.3472222222222222,-133.46551124194997
sma50_1d_weak,243.16310561102387,0.614159196327049,-0.4200659206793427,1.3373921180291022,54,0.3888888888888889,44.74156109323664
sma50_1d_or_mom8,107.01635500576175,0.5034861132680191,-0.4774773627719149,1.2767575812006045,58,0.41379310344827586,-91.40518951202547
